Index,First Author Last Name,Year,Cite key,Title,Conference,DOI,Scholar ID
1,Robertson,2005,robertson2005aspring,A halbach array magnetic spring,INTERMAG Asia 2005: Digest of the IEEE International Magnetics Conference,10.1109/intmag.2005.1464415,
2,Robertson,2006,robertson2006zerostiffnessisolation,Zero-stiffness magnetic springs for active vibration isolation,ACTIVE,,
3,Robertson,2007,robertson2007nonlinearspring,Nonlinear control of a one axis magnetic spring,International Congress on Sound and Vibration,,
4,Robertson,2009,robertson2009peterpackages,Peter Wilson's Herries Press packages,TeX Users Group (TUG) Annual Meeting,,
5,Robertson,2010,robertson2010unicodechallenges,Unicode mathematics in LaTeX: Advantages and challenges,TeX Users Group (TUG) LaTeX workshop,,
6,Frizenschaf,2011,frizenschaf2011developmentsprings,Development of a magnetic levitation vibration isolator using inclined permanent magnet springs,Annual Conference of the Australian Acoustical Society,,
7,Zhu,2011,zhu2011thesupport,The development of a 6 degree of freedom quasi-zero stiffness Maglev vibration isolator with adaptive-passive load support,International Conference on Mechatronics Technology,,
8,Medwell,2012,medwell2012developingaustralia,Developing sports engineering education in Australia,International Sports Engineering Conference (ISEA conference),10.1016/j.proeng.2012.04.045,
9,Robertson,2013,robertson2013asimulations,A modern take on the theoretical modelling of inertial properties of a human body for biomechanical simulations,International Congress on Modelling and Simulation (MODSIM),,
10,Robertson,2013,robertson2013experimentaldamping,Experimental results of a 1D passive magnetic spring approaching quasi-zero stiffness and using active skyhook damping,Annual Conference of the Australian Acoustical Society,,
11,Robertson,2013,robertson2013planarsprings,Planar analysis of a quasi-zero stiffness mechanism using inclined linear springs,Annual Conference of the Australian Acoustical Society,,
12,Shields,2013,shields2013fallingfeet,Falling cat robot lands on its feet,Australasian Conference on Robotics and Automation (ACRA),,
13,Leav,2014,leav2014amotor,A novel semi-active quasi-zero stiffness vibration isolation system using a constant-force magnetic spring and an electromagnetic linear motor,43rd International Congress on Noise Control Engineering (inter.noise 2014),,
14,Prime,2014,prime2014usingstakeholders,Using the Honours Project course to enhance engagement across all stakeholders,2014 Canadian Engineering Education Association Conference (CEEA14),10.24908/pceea.v0i0.5896,
15,McLean,2015,mclean2015asensor,A robotic joint sensor,Australasian Conference on Robotics and Automation,,
16,Sobey,2016,sobey2016adevice,"A Low Cost, Wireless Spinal Motion Measurement Device",12th International Conference on Intelligent Environments (IE),10.3233/978-1-61499-690-3-570,
17,Haydon,2018,haydonusingsport,Using a Robust Design Approach to Optimize Chair Set-up in Wheelchair Sport,The Conference of the International Sports Engineering Association,10.3390/proceedings2060482,
18,Heffernan,2018,heffernan2018targetsystems,Target acquisition and tracking of extremely long distance targets using multiple risley prism systems,"69th International Astronautical Congress: #InvolvingEveryone, IAC 2018",,
19,Kamaruzaman,2018,kamaruzaman2018improvingarm,Improving passive stability of a planar quasi-zero stiffness magnetic levitation system via lever arm,IEEE International Magnetics Conference (INTERMAG),10.1109/INTMAG.2018.8508594,
20,Kamaruzaman,2018,kamaruzaman2018quasizeroanalysis,Quasi-zero stiffness magnetic levitation vibration isolation system with improved passive stability: A theoretical analysis,Acoustics 2018,,
21,Lewis,2018,lewis2018injuryapproaches,Injury prevention of elite wheelchair racing athletes using simulation approaches,International Sports Engineering Association 2018,10.3390/proceedings2060255,
22,Lewis,2018,lewis2018intrastrokeunits,Intra-stroke profiling of wheelchair propulsion using inertial measurement units,International Sports Engineering Association 2018,,
23,Lewis,2018,lewisintrastrokeunits,Intra-Stroke Profiling of Wheelchair Propulsion Using Inertial Measurement Units,The Conference of the International Sports Engineering Association,10.3390/proceedings2060256,
24,Robertson,2018,robertson2018fontpackage,Font loading in LaTeX using the fontspec package,The 39th Annual Meeting of the TeX Users Group,,
25,Robertson,2018,robertson2018thelatexml,The Canvas Learning Management System and LaTeXML,TUGboat,10.25909/5b680da9a5e1c,
26,Schubert,2018,schubert2018pseudononlinearconverters,Pseudo-nonlinear hydrodynamic coefficients for modelling point absorber wave energy converters,4th Asian Wave and Tidal Energy Conference (AWTEC),,
27,Forbes,2019,forbes2019analyticmotors,Analytic magnetic field modelling approach for iron-less tubular permanent magnet linear synchronous motors,IEEE Energy Conversion Congress and Exposition (ECCE),10.1109/ECCE.2019.8912925,
